name;productUrl;imageUrls/0;imageUrls/1;price;main cat;sub cat;color prop;size;gender;Brand;Store
Badeshorts in Blockfarben;http://www.hm.com/de/product/46595?article=46595-B;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0387706 002 66 4264.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6TT_0447_008R.jpg]&set=key[rotate],value[-0.3]&set=key[width],value[3768]&set=key[height],value[4406]&set=key[x],value[761]&set=key[y],value[135]&set=key[type],value[FASHION_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];19,99;fashion;Bademode;grün;l;men;H&M;H&M
Badeshorts;http://www.hm.com/de/product/46593?article=46593-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0387737 002 65 4316.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6TT_0448_014R.jpg]&set=key[rotate],value[0]&set=key[width],value[3397]&set=key[height],value[3972]&set=key[x],value[829]&set=key[y],value[264]&set=key[type],value[FASHION_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];19,99;fashion;Bademode;grün;l;men;H&M;H&M
Badeshorts;http://www.hm.com/de/product/46593?article=46593-B;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0387737 003 65 4315.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6TT_0449_002R.jpg]&set=key[rotate],value[0.5]&set=key[width],value[3478]&set=key[height],value[4067]&set=key[x],value[864]&set=key[y],value[222]&set=key[type],value[FASHION_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];19,99;fashion;Bademode;blau;l;men;H&M;H&M
Gemustertes T-Shirt;http://www.hm.com/de/product/49472?article=49472-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0388220 002 33 3349.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6VT_0095_016R.jpg]&set=key[rotate],value[0]&set=key[width],value[4037]&set=key[height],value[4721]&set=key[x],value[570]&set=key[y],value[118]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];9,99;fashion;T-Shirts;blau;l;men;H&M;H&M
Gemustertes T-Shirt;http://www.hm.com/de/product/49472?article=49472-C;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0388220 005 36 3275.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=5&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6VS_0271_020R.jpg]&set=key[rotate],value[-0.2]&set=key[width],value[4086]&set=key[height],value[4778]&set=key[x],value[630]&set=key[y],value[169]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];9,99;fashion;T-Shirts;grau;l;men;H&M;H&M
Asymmetrisches Top;http://www.hm.com/de/product/47288?article=47288-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0388325 001 65 3974.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=2&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/6VS_0179_009R.jpg]&set=key[rotate],value[0.55]&set=key[width],value[3149]&set=key[height],value[3683]&set=key[x],value[1064]&set=key[y],value[576]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];17,99;fashion;Tops;schwarz;l;women;H&M;H&M
T-Shirt mit Druck;http://www.hm.com/de/product/49433?article=49433-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0388544 001 25 0997.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];lp.hm.com/hmprod?set=key[source],value[/environment/2016/7AR_0315_010R.jpg]&set=key[rotate],value[0]&set=key[width],value[3494]&set=key[height],value[4085]&set=key[x],value[839]&set=key[y],value[564]&set=key[type],value[FASHION_FRONT]&hmver=0&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];9,99;fashion;T-Shirts;weiss;l;men;H&M;H&M
Poncho aus Baumwolle;http://www.hm.com/de/product/46331?article=46331-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0389892 001 33 0769.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;19,99;Accessories;Ponchos;blau;;women;H&M;H&M
Espadrilles aus Baumwolltwill;http://www.hm.com/de/product/46014?article=46014-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0391809 002 57 4764.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;9,99;schuhe;Sneaker;weiss;40;men;H&M;H&M
Strohhut;http://www.hm.com/de/product/45609?article=45609-A;lp.hm.com/hmprod?set=key[source],value[/model/2016/D00 0391883 001 80 4172.jpg]&set=key[rotate],value[]&set=key[width],value[]&set=key[height],value[]&set=key[x],value[]&set=key[y],value[]&set=key[type],value[STILL_LIFE_FRONT]&hmver=1&set=key[quality],value[80]&set=key[size],value[346x405]&call=url[file:/mobile/v2/product];;12,99;Accessories;Mützen/Schals/Handschuhe;beige;;men;H&M;H&M
